Aaberg	'o:-%b{rg
kantianismens	kAn-tI-A-'nI-sm@ns
kantianismes	kAn-tI-A-'nI-sm@s
kantilene	kAn-tI-"le:-n@
kantina	kAn-"ti:-nA
kantinekasse	kAn-'ti:-n@-%kA-s@
kantkonvallene	"kAnt-kUn-%vA-ln=-@
kantkonvallens	"kAnt-kUn-%vA-ln=s
kantkonvaller	"kAnt-kUn-%vA-l@r
kantkonvallers	"kAnt-kUn-%vA-l@s`
kantlyngen	"kAnt-%lYN-@n
kantlynget	"kAnt-%lYN-@
kantonesere	kAn-tU-'ne:-s@-r@
kantrer	"kAn-tr@r
kantres	"kAn-tr@s
kantspellere	"kAnt-%spE-l@-r@
kantspillers	"kAnt-%spI-l@s`
kantstein	"kAnt-%st{*In
kantvegetasjon	"kAn-tv@-g@-tA-%Su:n
kanvasenes	'kAn-vA-sn=-@s
kanvasen	'kAn-vA-sn=
kanylers	kA-"ny:-l@s`
kaotisks	kA-'u:-tIsks
kapasistansen	kA-pA-sI-'stAn-sn=
kapasitetsproblemene	kA-pA-sI-'te:t-sprU-%ble:-m@-n@
kapellanias	kA-p@-lA-'ni:-As
kapellanis	kA-p@-lA-'ni:s
kapellans	kA-p@-'lA:ns
kapellers	kA-'pE-l@s`
kapellmesterne	kA-'pEl-%mE-st@-n`@
kåpens	"ko:-p@ns
kaperbrevets	'kA:-p@r-%bre:-v@ts
kaperbrev	'kA:-p@r-%bre:v
kaperens	"kA:-p@rn`S
kaperer	"kA:-p@-r@r
kaperkrigen	'kA:-p@r-%kri:-g@n
kaperkriger	'kA:-p@r-%kri:-g@r
kaperne	"kA:-p@-n`@
kapernes	"kA:-p@r-n`@s
kapersbusken	'kA:-p@s`-%bu0-sk@n
kapersbusker	'kA:-p@s`-%bu0-sk@r
kapersene	'kA:-p@-s`n`=-@
kapersen	'kA:-p@-s`n`=
kapersens	'kA:-p@-s`n`=s
kapillæra	kA-pI-'l{:-rA
kapillæras	kA-pI-'l{:-rAs
kapillærer	kA-pI-'l{:-r@r
kapillæret	kA-pI-'l{:-r@
kapillær	kA-pI-'l{:r
kapillarrør	kA-pI-'lA:r-%r2:r
kapillars	kA-pI-'lA:s`
kapitalavkastningen	kA-pI-'tA:l-A:v-%kAst-nIN-@n
kapitalbudsjettet	kA-pI-'tA:l-bu0d-%SE-t@
kapitaldekning	kA-pI-'tA:l-%dE-knIN
kapitaleksportens	kA-pI-'tA:l-@k-%spO-t`n`=s
kapitalfluktas	kA-pI-'tA:l-%flu0k-tAs
kapitalfluktene	kA-pI-'tA:l-%flu0k-tn=-@
kapitalflukten	kA-pI-'tA:l-%flu0k-tn=
kapitalfond	kA-pI-'tA:l-%fOn
kapitalforsikringer	kA-pI-'tA:l-fO-%s`I-krIN-@r
kapitalgrunnlaget	kA-pI-'tA:l-gru0n-%lA:-g@
kapitalgrunnlag	kA-pI-'tA:l-gru0n-%lA:g
kapitalintensiv	kA-pI-'tA:-lIn-t@n-%si:v
kapitalintensivt	kA-pI-'tA:-lIn-t@n-%si:vt
kapitalintensivts	kA-pI-'tA:-lIn-t@n-%si:vts
kapitaliserende	kA-pI-tA-lI-'se:-n`=-@
kapitalist	kA-pI-tA-'lIst
kapitalistklassen	kA-pI-tA-'lIst-%klA-sn=
kapital	kA-pI-'tA:l
kapitalkrevende	kA-pI-'tA:l-%kre:-v@-n@
kapitalnedsettelse	kA-pI-'tA:l-ne:d-%sE-tl=-s@
kapitalsyndens	kA-pI-'tA:l-%sY-nn=s
kapitalt	kA-pI-'tA:lt
kapitlet	kA-'pIt-l@
kapittelets	kA-'pI-tl=-@ts
kapitteloverskrift	kA-'pI-tl=-o:-v@-%s`krIft
kapittelsgodsets	kA-'pI-t@ls-%gUd-s@ts
kapittelstavene	kA-'pI-tl=-%stA:-v@-n@
kapitulasjoner	kA-pI-tu0-lA-'Su:-n@r
kapoene	'kA:-pU-@-n@
kapoenes	'kA:-pU-@-n@s
kapoers	'kA:-pU-@s`
kapoken	'kA:-pU-k@n
kappas	'kA-pAs
kappdrakk	"kAp-%drAk
kappedyra	"kA-p@-%dy:-rA
kappedyr	"kA-p@-%dy:r
kappe	"kA-p@
kappens	"kA-p@ns
kappes	"kA-p@s
kappestrider	"kA-p@-%stri:-d@r
kappkjøres	"kAp-%C2:-r@s
kappkjørt	"kAp-%C2:t`
kappleik	"kA-%pl{*Ik
kappløpa	"kAp-%l2:-pA
kappløpe	"kAp-%l2:-p@
kappsagene	"kAp-%sA:-g@-n@
kappverdernes	kAp-'v{-d`@r-n`@s
kappverdisks	kAp-'v{-d`Isks
kaprerdramaet	"kA:-pr@d`-%rA:-mA-@
kapreren	"kA:-pr@-n`=
kapreres	"kA:-pr@-r@s
kaprifolers	kA-prI-'fu:-l@s`
kaprifoliumfamilie	kA-prI-'fu:-lI-u0m-fA-%mi:-lI-@
kaprifoliumfamilienes	kA-prI-'fu:-lI-u0m-fA-%mi:-lI-@-n@s
kapriolenes	kA-prI-'u:-ln=-@s
kapriols	kA-prI-'u:ls
kapriser	kA-"pri:-s@r
kapseiser	"kAp-s{*I-s@r
kapseistes	"kAp-s{*I-st@s
kapselens	'kAp-s@lns
kapselfrukten	'kAp-s@l-%fru0k-tn=
kapunerende	kA-pu0-'ne:-n`=-@
kapusinere	kA-pu0-'si:-n@-r@
kaputt	kA-'pu0t
karabinenes	kA-rA-'bi:-nn=-@s
karabinens	kA-rA-'bi:-nn=s
karabinerer	kA-rA-'bi:-n@-r@r
karabinirenes	kA-rA-'bi:-nI-n`=-@s
karabinkroken	kA-rA-'bi:n-%kru:-k@n
karakalene	kA-rA-'kA:-ln=-@
karakalens	kA-rA-'kA:-ln=s
karakalers	kA-rA-'kA:-l@s`
karakterboka	kA-rAk-'te:r-%bu:-kA
karakterbøkene	kA-rAk-'te:r-%b2:-k@-n@
karakterboken	kA-rAk-'te:r-%bu:-k@n
karakterbøker	kA-rAk-'te:r-%b2:-k@r
karakteregenskapene	kA-rAk-'te:r-e:-g@n-%skA:-p@-n@
karakterer	kA-rAk-'te:-r@r
karakterfasthet	kA-rAk-'te:r-fAst-%he:t
karakterfrie	kA-rAk-'te:r-%fri:-@
karakterfries	kA-rAk-'te:r-%fri:-@s
karakteristika	kA-rAk-t@-'rI-stI-kA
karakteristikkenes	kA-rAk-t@-rI-'stI-k@-n@s
karakteristikumet	kA-rAk-t@-'rI-stI-ku0-m@
karakteristikum	kA-rAk-t@-'rI-stI-ku0m
karakteristisks	kA-rAk-t@-'rI-stIsks
karakterjag	kA-rAk-'te:r-%jA:g
karakterlaust	kA-rAk-'te:r-%lE*u0st
karakterlausts	kA-rAk-'te:r-%lE*u0sts
karakterprestasjoner	kA-rAk-'te:r-pr@-stA-%Su:-n@r
karakterrollas	kA-rAk-'te:r-%rO-lAs
karakterrolle	kA-rAk-'te:r-%rO-l@
karaktersetting	kA-rAk-'te:-%s`E-tIN
karakterskuespiller	kA-rAk-'te:r-sk}:-@-%spI-l@r
karakterskuespillernes	kA-rAk-'te:r-sk}:-@-%spI-l@r-n`@s
karakterutskrift	kA-rAk-'te:r-}:t-%skrIft
karakulsauers	kA-rA-'k}:l-sE*u0-@s`
karameller	kA-rA-'mE-l@r
karamellpuddingene	kA-rA-'mEl-%pu0-dIN-@-n@
karamellpuddingenes	kA-rA-'mEl-%pu0-dIN-@-n@s
karantene	kA-rAn-"te:-n@
karantenens	kA-rAn-"te:-nn=s
karanteners	kA-rAn-"te:-n@s`
karantenetiden	kA-rAn-"te:nE-%ti:-dn=
karaoke	kA-rA-"u:-k@
karaoken	kA-rA-"u:-k@n
karatene	kA-'rA:-tn=-@
karateslagenes	kA-"rA:-t@-%SlA:-g@-n@s
karateslagets	kA-"rA:-t@-%SlA:-g@ts
karavane	kA-rA-"vA:-n@
karavanen	kA-rA-"vA:-nn=
karavaner	kA-rA-"vA:-n@r
karavaneruter	kA-rA-"vA:-n@-%r}:-t@r
karbamidsyrenes	kAr-bA-'mi:d-%sy:-n`=-@s
karbamidsyrers	kAr-bA-'mi:d-%sy:-r@s`
karbaminsyrens	kAr-bA-'mi:n-%sy:-n`=s
karbaminsyrers	kAr-bA-'mi:n-%sy:-r@s`
karbider	kAr-'bi:-d@r
karbidlamper	kAr-'bi:d-%lAm-p@r
karbidlampes	kAr-'bi:d-%lAm-p@s
karbolene	kAr-'bu:-ln=-@
karbolineumens	kAr-bU-'li:-n@-u0-m@ns
karbolineumet	kAr-bU-'li:-n@-u0-m@
karbolineumets	kAr-bU-'li:-n@-u0-m@ts
karbolineum	kAr-bU-'li:-n@-u0m
karbolsyrene	kAr-'bu:l-%sy:-n`=-@
karbonadedeiger	kAr-bU-"nA:-d@-%d{*I-@r
karbonaden	kAr-bU-"nA:-dn=
karbonatenes	kAr-bU-'nA:-tn=-@s
karbondioksidassimilasjonen	kAr-'bu:n-dI-Ok-si:d-A-sI-mI-lA-%Su:-nn=
karbondioksidene	kAr-'bu:n-dI-Ok-%si:-dn=-@
karbondioksid	kAr-'bu:n-dI-Ok-%si:d
karbonmonoksid	kAr-'bu:n-mO-nOk-%si:d
karbonoksiders	kAr-'bu:n-Ok-%si:-d@s`
karbonpapiras	kAr-'bu:n-pA-%pi:-rAs
karbonpapirets	kAr-'bu:n-pA-%pi:-r@ts
karbonperiode	'kAr-bUn-p@-rI-%u:-d@
karbonsyra	kAr-'bu:n-%sy:-rA
karbonsyrenes	kAr-'bu:n-%sy:-n`=-@s
karbonsystemas	kAr-'bu:n-sY-%ste:-mAs
karbonsystemets	kAr-'bu:n-sY-%ste:-m@ts
kårbygningens	"ko:r-%bY-gnIN-@ns
kardangenes	kA-'d`AN-@-n@s
kardang	kA-'d`AN
kardas	"kA:-rAs
kardeborre	"kA:-r@-%bO-r@
kardeborrene	"kA:-r@-%bO-n`=-@
kardeborres	"kA:-r@-%bO-r@s
kårdefekting	"kO-d`@-%fEk-tIN
kårde	"kO-d`@
kardemommeplantens	kA-d`@-"mU-m@-%plAn-tn=s
kardene	"kA:-n`=-@
karders	"kA:-r@s`
kardeskene	kA-'d`E-sk@-n@
kardesken	kA-'d`E-sk@n
kardesk	kA-'d`Esk
kardesks	kA-'d`Esks
kardets	"kA:-r@ts
kardigansettenes	'kA:-d`I-gAn-%sE-tn=-@s
kardigans	'kA:-d`I-gAns
kardinaldyds	kA-d`I-'nA:l-%dy:ds
kardinalers	kA-d`I-'nA:-l@s`
kardinalfarger	kA-d`I-'nA:l-%fAr-g@r
kardinalfeilens	kA-d`I-'nA:l-%f{*I-ln=s
kardinalkollegias	kA-d`I-'nA:l-kU-%le:-gI-As
kardinalkollegiets	kA-d`I-'nA:l-kU-%le:-gI-@ts
kardinalpunktenes	kA-d`I-'nA:l-%pu0Nk-tn=-@s
kardinalpunktets	kA-d`I-'nA:l-%pu0Nk-t@ts
kardinalvokalene	kA-d`I-'nA:l-vU-%kA:-ln=-@
kardinalvokalenes	kA-d`I-'nA:l-vU-%kA:-ln=-@s
kardiogrammer	kA-d`I-U-'grA-m@r
kardiologiens	kA-d`I-U-lU-'gi:-@ns
kardiolog	kA-d`I-U-'lo:g
kard	'kA:r
kardusas	kA-'d`}:-sAs
kardusen	kA-'d`}:-sn=
karduser	kA-'d`}:-s@r
kardus	kA-'d`}:s
karduspapir	kAd`-'}:s-pA-%pi:r
Kåre	"ko:-r@
Karelin	kA-r@-'li:n
karene	"kA:-n`=-@
karenes	"kA:-n`=-@s
kåren	"ko:-n`=
karensdagene	kA-'rEns-%dA:-g@-n@
karensforsikringene	kA-'rEns-fO-%s`I-krIN-@-n@
karenstidas	kA-'rEn-%sti:-dAs
karenstidenes	kA-'rEn-%sti:-dn=-@s
karenstiden	kA-'rEn-%sti:-dn=
karenstidens	kA-'rEn-%sti:-dn=s
karenstid	kA-'rEn-%sti:d
karenstids	kA-'rEn-%sti:ds
kårent	"ko:-n`=t`
kårents	"ko:-n`=t`S
Karenus	kA-'re:-nu0s
karets	'kA:-r@ts
kårfolk	"ko:r-%fOlk
kårfolks	"ko:r-%fOlks
karfunkels	kAr-'fUN-k@ls
Kari-Anne	%kA:-rI-"A-n@
karibierers	kA-'ri:-bI-@-r@s`
karibisks	kA-'ri:-bIsks
Kariel	'kA:-rI-@l
karies	'kA:-rI-@s
Kari	"kA:-rI
karikaturene	kA-rI-kA-'t}:-n`=-@
karikaturtegnerne	kA-rI-kA-'t}:r-%t{*I-n@-n`@
karikaturtegnernes	kA-rI-kA-'t}:r-%t{*I-n@r-n`@s
karikaturtegningens	kA-rI-kA-'t}:r-%t{*I-nIN-@ns
karikertes	kA-rI-'ke:-t`@s
karimess	"kA:-rI-%mEs
Karinaåsen	kA-'ri:-nA-%o:-sn=
Karina	kA-'ri:-nA
kåringen	"ko:-rIN-@n
kåringsskuers	"ko:-rINs-%sk}:-@s`
karismatiskes	kA-rI-'smA:-tI-sk@s
karismatisks	kA-rI-'smA:-tIsks
Kariya	kA-'rI-jA
karjolene	kAr-'ju:-ln=-@
karjoler	kAr-'ju:-l@r
karkirurgi	"kA:r-CI-ru0r-%gi:
kårkonenes	"ko:r-%ku:-nn=-@s
Kårleif	"ko:-%l`{*If
Kårleiv	"ko:-%l`{*Iv
Karles	"kA:-l`@s
Karlof	'kA:-l`Of
Karl-Petter	%kA:l`-'pE-t@r
kårmannens	"ko:r-%mA-nn=s
kårmanns	"ko:r-%mAns
karmene	"kAr-m@-n@
karmenes	"kAr-m@-n@s
karminraudt	kAr-'mi:n-%rE*u0t
karminrød	kAr-'mi:n-%r2:
karminsyrers	kAr-'mi:n-%sy:-r@s`
Karmsund	"kArm-su0n
kårnes	"ko:-n`@s
karnevalene	'kA:-n`@-%vA-ln=-@
karnevalsdrakta	'kA:-n`@-vAls-%drAk-tA
karnevalsopptogene	"kA:-n`@-vAls-Op-%to:-g@-n@
karnissenes	kA-'n`I-sn=-@s
karnissers	kA-'n`I-s@s`
karnøfla	kA-'n`9-flA
karnøfles	kA-'n`9-fl@s
karnøflete	kA-'n`9-fl@-t@
Karnot	'kA:-n`Ot
karolinerne	kA-rU-'li:-n@-n`@
karolingeren	kA-rU-'lIN-@-n`=
karolingerens	kA-rU-'lIN-@rn`S
karolingernes	kA-rU-'lIN-@r-n`@s
karolingers	kA-rU-'lIN-@s`
karolinsks	kA-rU-'li:nsks
Karolisaken	kA-'ru:-lI-%sA:-k@n
Karol	'kA-rOl
karosserimakeres	kA-rO-s@-'ri:-%mA:-k@-r@s
karosserimakers	kA-rO-s@-'ri:-%mA:-k@s`
karoteners	kA-rU-'te:-n@s`
karotenet	kA-rU-'te:-n@
karotenoida	kA-rU-t@-nU-'i:-dA
karotenoidas	kA-rU-t@-nU-'i:-dAs
Karpbukt	'kArp-%bUkt
karplantene	"kA:r-%plAn-tn=-@
karriens	'kA-rI-@ns
karrierejaget	kA-rI-"{:-r@-%jA:-g@
karrierejagets	kA-rI-"{:-r@-%jA:-g@ts
karrierejegere	kA-rI-"{:-r@-%je:-g@-r@
karrierene	kA-rI-"{:-n`=-@
karrierer	kA-rI-"{:-r@r
karrieresamfunns	kA-rI-"{:-r@-sAm-%fu0ns
karrierestress	kA-rI-"{:-r@-%strEs
karrieresystem	kA-rI-"{:-r@-sY-%ste:m
karrierevei	kA-rI-"{:-r@-%v{*I
karrieristen	kA-rI-@-'rI-stn=
karrierist	kA-rI-@-'rIst
karriges	"kA-rI-@s
karrigs	"kA-rIs
karses	"kA-s`@s
Karseveien	"kA-s`@-%v{*I-@n
karsjukdommer	"kA:r-S}:k-%dO-m@r
karsjukdoms	"kA:r-S}:k-%dOms
kars	'kA:s`
karskende	"kA-s`k@-n@
karskere	"kA-s`k@-r@
karskestes	"kA-s`k@-st@s
karsporeplantas	"kA:r-spu:-r@-%plAn-tAs
karsstykket	'kA:s`-%s`t`Y-k@
karstlandskapers	'kAs`t`-lAn-%skA:-p@s`
kårstovas	"ko:r-%sto:-vAs
kårstua	"ko:r-%st}:-A
kårstuenes	"ko:r-%st}:-@-n@s
kartbladers	"kAt`-%blA:-@s`
kartbruk	"kAt`-%br}:k
kartellers	kA-'t`E-l@s`
karten	'kA-t`n`=
kartere	kA-'t`e:-r@
karterende	kA-'t`e:-n`=-@
karterte	kA-'t`e:-t`@
kartertes	kA-'t`e:-t`@s
kartert	kA-'t`e:t`
Karterud	"kA-t`@-%r}:d
kartesianeres	kA-t`@-sI-'A:-n@-r@s
kartesianerne	kA-t`@-sI-'A:-n@-n`@
kartesianske	kA-t`@-sI-'A:n-sk@
kartes	"kA-t`@s
kartetes	"kA-t`@-t@s
kartlagtes	"kAt`-%l`Ak-t@s
kartlagts	"kAt`-%l`Akts
kartleggende	"kAt`-%l`E-g@-n@
kartleggendes	"kAt`-%l`E-g@-n@s
kartlegges	"kAt`-%l`E-g@s
kartlegging	"kAt`-%l`E-gIN
kartlegg	"kAt`-%l`Eg
kartleserer	"kAt`-%le:-s@-r@r
kartleserers	"kAt`-%le:-s@-r@s`
kartlommen	"kAt`-%lU-m@n
kartlommes	"kAt`-%lU-m@s
kartmappas	"kAt`-%mA-pAs
kartogrammets	kA-t`U-'grA-m@ts
kartograms	kA-t`U-'grAms
kartonasjes	kA-t`U-'nA:-S@s
kartongenes	kA-'t`ON-@-n@s
kartongen	kA-'t`ON-@n
kartongmaskinene	kA-'t`ON-mA-%Si:-nn=-@
kartongs	kA-'t`ONs
Karton	'kA:-t`On
kartoteka	kA-t`U-'te:-kA
kartotekas	kA-t`U-'te:-kAs
kartoteket	kA-t`U-'te:-k@
kartotekkorta	kA-t`U-'te:k-%kO-t`A
kartotekkortene	kA-t`U-'te:k-%kO-t`n`=-@
kartotekkortenes	kA-t`U-'te:k-%kO-t`n`=-@s
kartotekkortet	kA-t`U-'te:k-%kO-t`@
kartotekskapet	kA-t`U-'te:k-%skA:-p@
kartprojeksjon	'kAt`-prU-j@k-%Su:n
kartverket	"kAt`-%v{r-k@
karusellens	kA-ru0-'sElns
karussers	kA-'ru0-s@s`
karvas	"kAr-vAs
karveakevittens	"kAr-v@-A-k@-%vI-tn=s
karveakevitter	"kAr-v@-A-k@-%vI-t@r
karvefrø	"kAr-v@-%fr2:
karvende	"kAr-v@-n@
karvens	"kAr-v@ns
kasakhene	kA-'sA:-k@-n@
kasakhens	kA-'sA:-k@ns
kasakhere	kA-'sA:-k@-r@
kasakh	kA-'sA:k
kasakhstanske	kA-SAk-'stA:n-sk@
kasakken	kA-'sA-k@n
Kasakstan	kA-sAk-'stA:n
Kåsaveien	'ko:-sA-%v{*I-@n
kase	"kA:-s@
kasematts	kA-s@-'mAts
Kåsene	"ko:-sn=-@
kasen	'kA:-sn=
kaserne	kA-"s{:-n`@
kasernen	kA-"s{:-n`n`=
kåsertes	kO-'se:-t`@s
kåsert	kO-'se:t`
Kasfjord	'kA:s-%fju:r
kasjmiren	kA-'Smi:-n`=
kasjmirerers	kA-'s`mi:-r@-r@s`
kasjmirgarnas	kA-'Smi:r-%gA:-n`As
kasjmirgeiter	kA-'Smi:r-%j{*I-t@r
kasjmiri	kA-'Smi:-rI
kasjmirsjala	kA-'Smi:r-%SA:-lA
kasjmirske	kA-'s`mi:-s`k@
kasjottens	kA-'SO-tn=s
kasjott	kA-'SOt
kasjunøtta	'kE-Su0-%n9-tA
kasjunøtter	'kE-Su0-%n9-t@r
kasjutrærs	'k{-s`u0-%tr{:s`
kasjutre	'kE-Su0-%tre:
kasjutres	'kE-Su0-%tre:s
kaskaden	kA-"skA:-dn=
kaskaders	kA-"skA:-d@s`
kaskelotters	kA-sk@-'lO-t@s`
kaskelotts	kA-sk@-'lOts
kaskoers	'kA-skU-@s`
kaskoforsikringenes	'kA-skU-fO-%s`I-krIN-@-n@s
kaskopremie	'kA-skU-%pre:-mI-@
kaskopremiene	'kA-skU-%pre:-mI-@-n@
kåsør	kO-'s2:r
kassaapparater	'kA-sA-A-pA-%rA:-t@r
kassabel	kA-'sA:-b@l
kassable	kA-'sA:-bl@
kassabøker	'kA-sA-%b2:-k@r
kassadame	'kA-sA-%dA:-m@
kassadamer	'kA-sA-%dA:-m@r
kassakreditts	'kA-sA-kr@-%dIts
kassarabatten	'kA-sA-rA-%bA-tn=
kassaregistret	'kA-sA-r@-%gI-str@
kassastykkas	'kA-sA-%stY-kAs
kassasuksesser	'kA-sA-sYk-%se:-@r
kasseapparats	"kA-s@-A-pA-%rA:ts
kassebøkers	"kA-s@-%b2:-k@s`
kassehus	"kA-s@-%h}:s
kassekreditts	"kA-s@-kr@-%dIts
kassemanglenes	"kA-s@-%mAN-l=-n@s
kassens	"kA-sn=s
kasserabatter	"kA-s@-rA-%bA-t@r
kasseregistras	"kA-s@-r@-%gI-strAs
kasseregistrets	"kA-s@-r@-%gI-str@ts
kasserere	kA-'se:-r@-r@
kassererne	kA-'se:-r@-n`@
kasserernes	kA-'se:-r@r-n`@s
kasserolle	kA-s@-"rO-l@
kasseroller	kA-s@-"rO-l@r
kasserolles	kA-s@-"rO-l@s
kassert	kA-'se:t`
kasserts	kA-'se:t`s`
kassestykke	"kA-s@-%stY-k@
kassestykkers	"kA-s@-%stY-k@s`
kassesuksessen	"kA-s@-su0k-%se:-@n
kassesviket	"kA-s@-%svi:-k@
kassettavgiftsfondet	kA-'sEt-A:v-jIfts-%fO-n@
kassettbandas	kA-'sEt-%bA-nAs
kassettdekka	kA-'sEt-%dE-kA
kassettdekkenes	kA-'sEt-%dE-k@-n@s
kassettenes	kA-'sE-tn=-@s
kassettens	kA-'sE-tn=s
kassettspellere	kA-'sEt-%spE-l@-r@
kassettspelleren	kA-'sEt-%spE-l@-n`=
kassettspillerne	kA-'sEt-%spI-l@-n`@
kassettspillers	kA-'sEt-%spI-l@s`
kastanjebrune	kA-'stAn-j@-%br}:-n@
kastanjebrunes	kA-'stAn-j@-%br}:-n@s
kastanjebruns	kA-'stAn-j@-%br}:ns
kastanjebrunts	kA-'stAn-j@-%br}:nts
kastanje	kA-'stAn-j@
kastanjenes	kA-'stA-nj@-n@s
kastanjett	kA-stAn-'jEt
Kastanjeveien	kA-'stAn-j@-%v{*I-@n
kastar	"kA-stAr
kasteballers	"kA-st@-%bA-l@s`
kastekalvene	"kA-st@-%kAl-v@-n@
kastekalvs	"kA-st@-%kAlvs
kastekjeppen	"kA-st@-%CE-p@n
kastelagas	"kA-st@-%lA:-gAs
kastelagene	"kA-st@-%lA:-g@-n@
kastelaget	"kA-st@-%lA:-g@
kastelauses	"kA-st@-%lE*u0-s@s
kastelaust	"kA-st@-%lE*u0st
kastenøter	"kA-st@-%n2:-t@r
kasternes	"kA-st@r-n`@s
kasteskytsa	"kA-st@-%SYt-sA
kastesømmene	"kA-st@-%s9-m@-n@
kastesømmers	"kA-st@-%s9-m@s`
kastetørklærne	"kA-st@-%t9r-kl{:-n`@
kastetørklet	"kA-st@-%t9r-kl@
kastevåpena	"kA-st@-%vo:-p@-nA
kastevåpenets	"kA-st@-%vo:-p@-n@ts
kastevinden	"kA-st@-%vI-nn=
kastevinder	"kA-st@-%vI-n@r
kastevind	"kA-st@-%vIn
kastiljanere	kA-stIl-'jA:-n@-r@
kastrasjoners	kA-strA-'Su:-n@s`
kastratsangeren	kA-'strA:t-%sAN-@-n`=
kastrerende	kA-'stre:-n`=-@
kasuistens	kA-su0-'I-stn=s
kasuister	kA-su0-'I-st@r
kasuisters	kA-su0-'I-st@s`
kasuistiskes	kA-su0-'I-stI-sk@s
kasusas	'kA:-su0-sAs
kasusbøyingens	'kA:-su0s-%b9*Y-IN-@ns
kasusbøyningene	'kA:-su0s-%b9*Y-nIN-@-n@
kasusenes	'kA:-su0-sn=-@s
kasusforms	'kA:-su0s-%fOrms
kasusspråks	'kA:-su0s-%spro:ks
kasussystem	'kA:-su0s-sY-%ste:m
katafalkenes	kA-tA-'fAl-k@-n@s
katakombes	kA-tA-"kUm-b@s
katakresers	kA-tA-"kre:-s@s`
katalanere	kA-tA-'lA:-n@-r@
katalaners	kA-tA-'lA:-n@s`
katalogene	kA-tA-'lo:-g@-n@
katalogens	kA-tA-'lo:-g@ns
kataloger	kA-tA-'lo:-g@r
katalogiserer	kA-tA-lU-gI-'se:-r@r
katalogisering	kA-tA-lO-gI-'se:-rIN
katalysatorenes	kA-tA-lY-'sA:-tU-n`=-@s
katalysene	kA-tA-"ly:-sn=-@
katalyserende	kA-tA-lY-'se:-n`=-@
katalyserer	kA-tA-lY-'se:-r@r
katalytisk	kA-tA-'ly:-tIsk
katamaranen	kA-tA-mA-'rA:-nn=
kataraktene	kA-tA-'rAk-tn=-@
kataraktens	kA-tA-'rAk-tn=s
katarakt	kA-tA-'rAkt
katastrofal	kA-tA-strU-'fA:l
katastrofals	kA-tA-strU-'fA:ls
katastrofeområders	kA-tA-"stru:-f@-Om-%ro:-d@s`
katastrofers	kA-tA-"stru:-f@s`
katastrofeteoriens	kA-tA-"stru:-f@-t@-U-%ri:-@ns
katataksen	kA-tA-"tAk-sn=
kåtede	"ko:-t@-d@
katedralene	kA-t@-'drA:-ln=-@
katedralens	kA-t@-'drA:-ln=s
katedrals	kA-t@-'drA:ls
katedralskoles	kA-t@-'drA:l-%sku:-l@s
kategoribetegnelsene	kA-t@-gU-'ri:-b@-%t{*I-nl=-sn=-@
kategoriens	kA-t@-gU-'ri:-@ns
katekesen	kA-t@-"ke:-sn=
kateketikk	kA-t@-k@-'tIk
kateketikks	kA-t@-k@-'tIks
kateketiskes	kA-t@-'ke:-tI-sk@s
kateketisks	kA-t@-'ke:-tIsks
katekisasjonenes	kA-t@-kI-sA-'Su:-nn=-@s
katekiserte	kA-t@-kI-'se:-t`@
katekiserts	kA-t@-kI-'se:t`s`
katekismenes	kA-t@-'kI-sm@-n@s
katekismens	kA-t@-'kI-sm@ns
katekismusene	kA-t@-'kI-smu0-sn=-@
katekumenat	kA-t@-ku0-m@-'nA:t
kåtens	"ko:-tn=s
kåter	"ko:-t@r
kåtes	"ko:-t@s
katetens	kA-'te:-tn=s
kateterisering	kA-t@-t@-rI-'se:-rIN
Katherina	kA-t@-'ri:-nA
kåthet	'ko:t-%he:t
Kathinka	kA-'tIN-kA
kåtingenes	"ko:-tIN-@-n@s
kationene	'kA:-%tju:-nn=-@
kationers	'kA:-%tju:-n@s`
katode	kA-"tu:-d@
katodestrålene	kA-"tu:-d@-%stro:-ln=-@
katodestråler	kA-"tu:-d@-%stro:-l@r
katodestrålers	kA-"tu:-d@-%stro:-l@s`
katodestråles	kA-"tu:-d@-%stro:-l@s
Kato	'kA:-tU
katolikkene	kA-tU-'lI-k@-n@
katolikkenes	kA-tU-'lI-k@-n@s
katolikk	kA-tU-'lIk
katoliserte	kA-tU-lI-'se:-t`@
katolisert	kA-tU-lI-'se:t`
katolsk	kA-'tu:lsk
Kator	'kA:-tUr
Kattanakkveien	'kA-tA-nA-%kv{*I-@n
katteaktiges	"kA-t@-%Ak-tI-@s
kattebjørners	"kA-t@-%bj2:-n`@s`
kattedyrene	"kA-t@-%dy:-n`=-@
kattedyr	"kA-t@-%dy:r
kattefots	"kA-t@-%fu:ts
katteføttene	"kA-t@-%f9-tn=-@
kattehale	"kA-t@-%hA:-l@
katte	"kA-t@
katteklubbene	"kA-t@-%klu0-b@-n@
kattemjuk	"kA-t@-%mj}:k
kattemusikks	"kA-t@-mu0-%sIks
katteøynene	"kA-t@-%9*Y-nn=-@
katteøynes	"kA-t@-%9*Y-n@s
kattepestas	"kA-t@-%pE-stAs
kattepestenes	"kA-t@-%pE-stn=-@s
kattepesten	"kA-t@-%pE-stn=
kattepestens	"kA-t@-%pE-stn=s
kattepesters	"kA-t@-%pE-st@s`
kattepests	"kA-t@-%pEsts
kattepiner	"kA-t@-%pi:-n@r
kattesjukenes	"kA-t@-%S}:-k@-n@s
katteslekt	"kA-t@-%SlEkt
